cell_id,cx,cy,cz,lambda,chi,sigma,is_interface,surface_x,surface_y,surface_z,normal_x,normal_y,normal_z,interpolation_coefficient
323,0.007,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
324,0.009,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
325,0.011,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
326,0.013,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
327,0.015,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
328,0.017,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
329,0.019,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
330,0.021,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
331,0.023,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
332,0.025,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
333,0.027,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
334,0.029,0.011,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
335,0.031,0.011,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
336,0.033,0.011,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
337,0.035,0.011,0.001,0,0,0.004,0,0,0,0,0,0,0,0
338,0.037,0.011,0.001,0,0,0.006,0,0,0,0,0,0,0,0
339,0.039,0.011,0.001,0,0,0.008,0,0,0,0,0,0,0,0
340,0.041,0.011,0.001,0,0,0.01,0,0,0,0,0,0,0,0
341,0.043,0.011,0.001,0,0,0.00848528,0,0,0,0,0,0,0,0
342,0.045,0.011,0.001,0,0,0.0072111,0,0,0,0,0,0,0,0
343,0.047,0.011,0.001,0,0,0.00632456,0,0,0,0,0,0,0,0
344,0.049,0.011,0.001,0,0,0.006,0,0,0,0,0,0,0,0
345,0.051,0.011,0.001,0,0,0.006,0,0,0,0,0,0,0,0
346,0.053,0.011,0.001,0,0,0.006,0,0,0,0,0,0,0,0
347,0.055,0.011,0.001,0,0,0.006,0,0,0,0,0,0,0,0
